year,cpi_index,cpi_base_year,median_home_price_nominal,real_median_home_price,real_median_household_income,home_price_to_real_income_ratio,median_home_price_to_median_household_income_ratio,mortgage_rate_annual_avg,case_shiller_index,real_home_price_index,case_shiller_index_first_available,case_shiller_relative_to_cpi,shelter_cpi,transportation_services_cpi
1947,22.331666666666667,2024,,,,,,,,,,,,
1948,24.045,2024,,,,,,,,,,,,
1949,23.809166666666666,2024,,,,,,,,,,,,
1950,24.0625,2024,,,,,,,,,,,,
1951,25.973333333333333,2024,,,,,,,,,,,,
1952,26.566666666666666,2024,,,,,,,,,,,,
1953,26.768333333333334,2024,,,,,,,,,,,21.983333333333334,
1954,26.865,2024,,,,,,,,,,,22.491666666666664,
1955,26.795833333333334,2024,,,,,,,,,,,22.766666666666666,
1956,27.190833333333334,2024,,,,,,,,,,,23.125,22.991666666666664
1957,28.113333333333333,2024,,,,,,,,,,,23.958333333333332,24.125
1958,28.88083333333333,2024,,,,,,,,,,,24.46666666666667,25.633333333333336
1959,29.150000000000002,2024,,,,,,,,,,,24.733333333333334,26.525000000000002
1960,29.584999999999997,2024,,,,,,,,,,,25.233333333333334,27.208333333333332
1961,29.901666666666667,2024,,,,,,,,,,,25.458333333333332,27.816666666666666
1962,30.253333333333334,2024,,,,,,,,,,,25.724999999999998,28.25
1963,30.633333333333336,2024,18050.0,184839.56175190426,,,,,,100.0,,,26.066666666666666,28.599999999999998
1964,31.03833333333333,2024,18925.0,191271.1530097192,,,,,,103.47955340126134,,,26.491666666666664,29.224999999999998
1965,31.528333333333332,2024,20125.0,200238.16474599566,,,,,,108.33079393185305,,,26.983333333333334,30.34166666666667
1966,32.47083333333333,2024,21500.0,207709.80880277173,,,,,,112.37302600920707,,,27.808333333333334,31.583333333333332
1967,33.375,2024,22750.0,213831.709113608,,,,,,115.68503359720017,,,28.75,32.625
1968,34.791666666666664,2024,24800.0,223608.56143712578,,,,,,120.97440575911888,,,30.116666666666664,33.94166666666667
1969,36.68333333333333,2024,25600.0,218918.8477964562,,,,,,118.43722508404014,,,32.574999999999996,36.31666666666667
1970,38.84166666666667,2024,23475.0,189591.8763140957,,,,,,102.57104838225601,,,35.525,40.18333333333333
1971,40.483333333333334,2024,25225.0,195464.0490942775,,,,7.54175,,105.74795094820321,,,37.016666666666666,43.475
1972,41.80833333333333,2024,27525.0,206526.81771975287,,,,7.383269230769231,,111.73301633172974,,,38.666666666666664,44.40833333333333
1973,44.425000000000004,2024,32600.0,230198.31701369345,,,,8.044807692307693,,124.53952759456912,,,40.43333333333333,44.699999999999996
1974,49.31666666666666,2024,36050.0,229310.28540047316,,,,9.187115384615385,,124.05909385797966,,,44.39166666666667,46.31666666666666
1975,53.824999999999996,2024,39275.0,228899.1267224029,,,,9.047115384615385,,123.83665301567657,,,48.76666666666667,49.849999999999994
1976,56.93333333333334,2024,44225.0,243676.2544642857,,,,8.865849056603773,,131.83122279382667,,,51.449999999999996,56.875
1977,60.61666666666667,2024,48900.0,253063.0797360462,,,,8.845192307692308,,136.90958652872865,,,54.916666666666664,61.46666666666667
1978,65.24166666666666,2024,55850.0,268540.69651296467,,,,9.641730769230769,,145.2831276852982,,,60.458333333333336,64.43333333333334
1979,72.58333333333333,2024,62750.0,271199.4483352469,,,,11.203653846153847,,146.7215382707176,,,68.86666666666666,69.43333333333334
1980,82.38333333333334,2024,64750.0,246554.19330366174,,,,13.742115384615385,,133.38821568652725,,,80.95833333333333,79.2
1981,90.93333333333334,2024,68950.0,237860.94492302052,,,,16.641509433962263,,128.685083792983,,,90.425,88.64166666666667
1982,96.53333333333335,2024,69225.0,224956.0316384668,,,,16.043653846153845,,121.70340023874746,,,96.83333333333333,96.10000000000001
1983,99.58333333333333,2024,75375.0,237439.3236401674,,,,13.235384615384616,,128.45698257977028,,,99.13333333333333,99.11666666666667
1984,103.93333333333334,2024,79950.0,241310.15161962798,60420.0,3.993878709361602,3.993878709361602,13.877692307692307,,130.5511381505653,,,103.925,104.8
